industry,industry_uuid,category,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,3 Dogs,olit_ae450c3550834835b9c917052c6f72d7,3 Dogs 1x Week,Pooper Scooper Service Weekly Service 3 Dogs,$15.00,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,4 Dogs,olit_0d6985d8de6a48c5a5ebf14fc97d1809,4 Dogs 3x A week,Waste Removal 4 Dogs 3 Times a week,$12.50,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,Complex,olit_cc9356c8b3064d12a6fef1bf9849ab27,Complex Priceing,Waste Removal Service (Pooper Scooper),$0.00,$0.00,false,,,false
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,Spray,olit_fd569baf90d04a65964e06b14b62ce56,Spray,Yard Spray,$5.95,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,Biweekly,olit_755cf123303e4244a957a53074fd0b37,Biweekly 2 Dogs,Pooper Scooper Service Bi weekly 2 Dogs,$25.00,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,4 Dogs,olit_4cae32ee45c34f90a384a997a865f25c,4 Dogs 1x Week,Pooper Scooper Service Weekly Service 4 Dogs,$16.25,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,5 Dogs,olit_c1bde63ce0624be8ae7b02ddfee8e891,5 Dogs 1x Week,Pooper Scooper Service Weekly Service 5 Dogs,$17.50,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,2 Dogs,olit_4fad96efc7a842ebbb3af35dcab1e897,2 Dogs 2X a Week,Pooper Scooper Waste Removal 2 Dogs 2 times a week,$12.25,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,3 Dogs,olit_cddab3cd95d74fd3be9f9de7c4127be0,3 Dogs 2x a Week,Waste Removal 3 Dogs 2 Times a week,$12.38,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,2 Dogs,olit_1d0512b1f335473db3007395e30e0ecc,2 Dogs 3x a Week,Waste Removal 2 Dogs 3 Times a Week,$11.15,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,1 Dog,olit_61e45b0dc02d4624960364fb1f52d744,1 Dog 1x Week,Pooper Scooper Service Weekly service 1 Dog,$12.50,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,1 Dog,olit_c6e0a3f5224c4990acd16a4c144bc758,1 Dog 2x a Week,Pooper Scooper 2 Times a week 1 Dog,$11.62,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,2 Dogs,olit_4b1c4de745d44826949b1053dac83380,2 Dogs 1x Week,Pooper Scooper Service Weekly Service 2 Dog,$13.50,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,Biweekly,olit_dcc9e08028b04d389710ef39392cc79a,Biweekly 4 Dogs,Pet waste cleanup Biweekly 4 Dogs,$40.00,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,Biweekly,olit_4518c8594b964934833df9fe148095cc,Biweekly 1 Dog,Biweekly Waste Removal 1 Dog,$20.00,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,Biweekly,olit_2bda425f931744ae9c92bf103272e767,biweekly 3 dogs,Pooper Scooper Bi Weekly 3 Dogs,$30.00,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,3 Dogs,olit_7dd813f16efa4d4c8eac895b1611347e,3 Dogs 4x Aweek,Waste Removal 3 Dogs 4 Times a week,$10.69,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,3 Dogs,olit_cdac5b65caa1483bac105df4aa3fc62e,3 Dogs 3x Week,Pooper Scooper Service 3 Times a week Service 3 Dogs,$10.42,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,One Time,olit_ac308668f09541759e9e603aa4eb83dd,Deep initial clean,Pooper Scooper Service,$100.00,$0.00,false,"","",true
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,Discounts,olit_580c47107cf6460e84664851f69e3952,Military,Military discount,$0.00,$0.00,false,,,false
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,Discounts,olit_16b797463cfe4bbd9f63395f77f04390,Upgrade fee,2 house service fee,$10.00,$0.00,false,,,false
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,fees,olit_587a82b618814b1f91976ee1654b4e50,Credit,,$0.00,$0.00,false,,,false
Pets,ind_62478b2ca5ab444aa7bc5d7f63cdc32f,fees,olit_7f9b68a167f44661909b7e0555802ce4,Sales,,$0.00,$0.00,false,,,false
